"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
35,-180,158,0.0892297365033996
35,-180,160,0.0854210527606293
35,-180,162,0.0819527807198592
35,-180,164,0.0788453163652336
35,-180,166,0.0761115231958515
35,-180,168,0.0737557803320595
35,-180,170,0.0717734942331858
35,-180,172,0.0701510955293902
35,-180,174,0.0688665159688606
35,-180,176,0.0678901139343259
35,-180,178,0.0671859920356183
35,-180,180,0.066713628539642
35,-178,0,4.82413308903292
35,-178,2,4.82165550047905
35,-178,4,4.80198149652629
35,-178,6,4.76555881336315
35,-178,8,4.71304082915734
35,-178,10,4.64526761181569
35,-178,12,4.56324305022499
35,-178,14,4.46810897021681
35,-178,16,4.36111720843337
35,-178,18,4.24360064164393
35,-178,20,4.11694414703185
35,-178,22,3.98255640424042
35,-178,24,3.84184334846713
35,-178,26,3.69618395337971
35,-178,28,3.54690887209563
35,-178,30,3.39528230354173
35,-178,32,3.24248728975226
35,-178,34,3.08961449591034
35,-178,36,2.93765438672287
35,-178,38,2.7874925958299
35,-178,40,2.63990819315484
35,-178,42,2.49557449007806
35,-178,44,2.35506198376835
35,-178,46,2.21884302793711
35,-178,48,2.08729782439334
35,-178,50,1.96072135392766
35,-178,52,1.83933090171233
35,-178,54,1.72327387707824
35,-178,56,1.61263567610226
35,-178,58,1.50744738441297
35,-178,60,1.40769316425782
35,-178,62,1.31331721222768
35,-178,64,1.22423021091688
35,-178,66,1.14031522868197
35,-178,68,1.06143304655183
35,-178,70,0.987426910623794
35,-178,72,0.918126722593086
35,-178,74,0.853352691173309
35,-178,76,0.792918473877049
35,-178,78,0.736633842706994
35,-178,80,0.684306909452035
35,-178,82,0.635745947083527
35,-178,84,0.59076084369325
35,-178,86,0.5491642248948
35,-178,88,0.510772279921936
35,-178,90,0.475405326018847
35,-178,92,0.442888145277958
35,-178,94,0.41305012792782
35,-178,96,0.38572525623645
35,-178,98,0.360751963646094
35,-178,100,0.337972904407888
35,-178,102,0.317234669694109
35,-178,104,0.298387486728523
35,-178,106,0.281284937635745
35,-178,108,0.265783734170754
35,-178,110,0.251743582928164
35,-178,112,0.239027172728262
35,-178,114,0.227500311349244
35,-178,116,0.217032232412435
35,-178,118,0.207496084934833
35,-178,120,0.19876960790117
35,-178,122,0.190735980423619
35,-178,124,0.183284825107286
35,-178,126,0.176313328789897
35,-178,128,0.169727431730926
35,-178,130,0.163443024589144
35,-178,132,0.157387083221823
35,-178,134,0.151498665517711
35,-178,136,0.14572969306684
35,-178,138,0.140045444163306
35,-178,140,0.134424693782665
35,-178,142,0.128859450705868
35,-178,144,0.123354261346624
35,-178,146,0.117925073088432
35,-178,148,0.112597675649985
35,-178,150,0.107405765458623
35,-178,152,0.102388703327758
35,-178,154,0.0975890579935258
35,-178,156,0.0930500455037711
35,-178,158,0.0888129856068329
35,-178,160,0.0849149001273617
35,-178,162,0.0813863743297917
35,-178,164,0.0782497905081556
35,-178,166,0.0755180241143437
35,-178,168,0.073193667771014
35,-178,170,0.0712688190697088
35,-178,172,0.0697254360158892
35,-178,174,0.0685362314377285
35,-178,176,0.0676660467740077
35,-178,178,0.06707361846587
35,-178,180,0.066713628539642
35,-176,0,4.82413308903292
35,-176,2,4.82224549969217
35,-176,4,4.80268027969837
35,-176,6,4.76586901882106
35,-176,8,4.71246210755234
35,-176,10,4.64330969114747
35,-176,12,4.55943825825572
35,-176,14,4.46202380223401
35,-176,16,4.35236258248162
35,-176,18,4.2318405511779
35,-176,20,4.1019024981535
35,-176,22,3.96402190664686
35,-176,24,3.81967241134194
35,-176,26,3.67030161544611
35,-176,28,3.51730786528159
35,-176,30,3.36202040939283
35,-176,32,3.20568319503213
35,-176,34,3.04944238788306
35,-176,36,2.89433754944628
35,-176,38,2.74129627717826
35,-176,40,2.5911320095651
35,-176,42,2.44454462386437
35,-176,44,2.30212340812169
35,-176,46,2.16435196927894
35,-176,48,2.03161464233292
35,-176,50,1.90420398725875
35,-176,52,1.78232899604982
